"LIST-ID","occups_cats"
"471692","Retail"
"471699","Metal-Working"
"471702","Unclassified"
"471718","Metal-Working"
"471721","Miscellaneous Services"
"471744","Unclassified"
"471767","Clothing"
"471767","Unclassified"
"471773","Unclassified"
"471778","Unclassified"
"471782","Clothing"
"471790","Unclassified"
"471793","Building"
"471794","Building"
"471794","Unclassified"
"471797","Performing Arts"
"472424","Managerial"
"472439","Clothing"
"472454","Glass-Working"
"472520","Miscellaneous Services"
"472635","Retail"
"472636","Performing Arts"
"472637","Retail"
"472825","Clothing"
"472928","Unclassified"
"473029","Clothing"
"473086","Metal-Working"
"473096","Unclassified"
"473097","Unclassified"
"473107","Miscellaneous Services"
"473307","Retail"
"473338","Metal-Working"
"473350","Education"
"473350","Managerial"
"473368","Managerial"
"473368","Managerial"
"473368","Managerial"
"473369","Clothing"
"473369","Unclassified"
"473478","Clothing"
"473478","Unclassified"
"473484","Clothing"
"473484","Unclassified"
"473728","Performing Arts"
"473773","Food-Production"
"473991","Education"
"473999","Managerial"
"474003","Unclassified"
"474439","Miscellaneous Services"
"474439","Managerial"
"474480","Unclassified"
"474733","Retail"
"474735","Building"
"474800","Performing Arts"
"474808","Building"
"474859","Unclassified"
"474996","Managerial"
"475002","Unclassified"
"475036","Food-Production"
"475216","Retail"
"475377","Transport"
"475378","Transport"
"475393","Retail"
"475416","Miscellaneous Services"
"475428","Managerial"
"475437","Managerial"
"475439","Clothing"
"475439","Unclassified"
"475445","Managerial"
"475446","Miscellaneous Services"
"475517","Managerial"
"475522","Miscellaneous Services"
"475523","Miscellaneous Services"
"475542","Managerial"
"475542","Managerial"
"475557","Managerial"
"475599","Retail"
"475613","Education"
"475614","Performing Arts"
"475614","Performing Arts"
"475640","Managerial"
"475650","Miscellaneous Services"
"475701","Managerial"
"475702","Managerial"
"475703","Managerial"
"475704","Managerial"
"475730","Food-Production"
"475732","Managerial"
"475735","Metal-Working"
"475735","Education"
"475737","Performing Arts"
"475742","Managerial"
"475754","Managerial"
"475760","Performing Arts"
"475760","Performing Arts"
"475795","Miscellaneous Services"
"475797","Clothing"
"475797","Unclassified"
"475805","Metal-Working"
"475836","Retail"
"475854","Metal-Working"
"475854","Unclassified"
"475921","Building"
"475958","Managerial"
"475963","Education"
"475965","Metal-Working"
"475965","Unclassified"
"475982","Retail"
"475982","Food-Retail"
"475982","Managerial"
"475991","Miscellaneous Services"
"476039","Building"
"476091","Managerial"
"476148","Managerial"
"476206","Managerial"
"476207","Metal-Working"
"476207","Managerial"
"476211","Unclassified"
"476228","Education"
"476228","Education"
"476228","Education"
"476229","Education"
"476348","Metal-Working"
"476353","Metal-Working"
"476353","Metal-Working"
"476386","Performing Arts"
"476390","Managerial"
"476392","Unclassified"
"476394","Managerial"
"476410","Unclassified"
"476411","Unclassified"
"476445","Performing Arts"
"476450","Unclassified"
"476451","Unclassified"
"476453","Metal-Working"
"476453","Managerial"
"476454","Unclassified"
"476459","Managerial"
"476459","Managerial"
"476469","Managerial"
"476484","Building"
"476493","Managerial"
"476496","Building"
"476496","Building"
"476496","Building"
"476496","Clothing"
"476496","Clothing"
"476496","Transport"
"476496","Transport"
"476496","Unclassified"
"476506","Clothing"
"476514","Household Goods"
"476572","Building"
"476584","Unclassified"
"476585","Managerial"
"476588","Unclassified"
"476589","Unclassified"
"476599","Performing Arts"
"476607","Managerial"
"476608","Performing Arts"
"476609","Transport"
"476610","Managerial"
"476614","Water-Management"
"476614","Retail"
"476616","Building"
"476655","Unclassified"
"476745","Food-Production"
"476824","Unclassified"
"476826","Metal-Working"
"476880","Metal-Working"
"476888","Metal-Working"
"476889","Metal-Working"
"476898","Metal-Working"
"476898","Unclassified"
"476903","Retail"
"476910","Transport"
"476960","Managerial"
"477006","Transport"
"477006","Unclassified"
"477028","Performing Arts"
"477097","Miscellaneous Services"
"477141","Unclassified"
"477211","Metal-Working"
"477227","Miscellaneous Services"
"477227","Miscellaneous Services"
"477262","Unclassified"
"477268","Building"
"477270","Miscellaneous Services"
"477274","Transport"
"477276","Food-Production"
"477279","Retail"
"477281","Performing Arts"
"477281","Performing Arts"
"477284","Finance"
"477339","Unclassified"
"477346","Food-Production"
"477359","Retail"
"477359","Managerial"
"477360","Retail"
"477360","Managerial"
"477362","Miscellaneous Services"
"477491","Unclassified"
"477492","Unclassified"
"477509","Unclassified"
"477516","Education"
"477528","Metal-Working"
"477534","Building"
"477606","Unclassified"
"477655","Unclassified"
"477734","Unclassified"
"477800","Unclassified"
"477919","Retail"
"478015","Miscellaneous Services"
"478063","Miscellaneous Services"
"478066","Retail"
"478179","Building"
"478200","Metal-Working"
"478201","Retail"
"478304","Building"
"478352","Retail"
"478427","Managerial"
"478451","Retail"
"478646","Miscellaneous Services"
"478647","Building"
"478649","Building"
"478649","Building"
"478658","Building"
"478702","Performing Arts"
"478767","Retail"
"478767","Unclassified"
"478786","Food-Production"
"478787","Miscellaneous Services"
"478826","Retail"
"478883","Retail"
"478888","Food-Production"
"478924","Education"
"478939","Retail"
"478945","Building"
"478950","Miscellaneous Services"
"478951","Retail"
"478952","Retail"
"478952","Food-Production"
"478953","Retail"
"478954","Retail"
"478955","Retail"
"479089","Miscellaneous Services"
"479427","Metal-Working"
"479427","Clothing"
"479429","Unclassified"
"479430","Retail"
"479430","Building"
"479431","Finance"
"479442","Miscellaneous Services"
"479442","Miscellaneous Services"
"479482","Retail"
"479500","Miscellaneous Services"
"479521","Retail"
"479521","Food-Retail"
"479628","Retail"
"479656","Managerial"
"480192","Performing Arts"
"480244","Retail"
"480247","Household Goods"
"480292","Retail"
"480297","Building"
"480301","Clothing"
"480616","Retail"
"480703","Performing Arts"
"480719","Miscellaneous Services"
"480721","Miscellaneous Services"
"480743","Retail"
"480825","Miscellaneous Services"
"480836","Transport"
"480874","Clothing"
"481020","Miscellaneous Services"
"481119","Plastic Arts"
"481221","Finance"
"481228","Clothing"
"481249","Building"
"481250","Building"
"481250","Metal-Working"
"481322","Retail"
"481335","Miscellaneous Services"
"481350","Managerial"
"481351","Unclassified"
"481352","Transport"
"481400","Managerial"
"481400","Managerial"
"481401","Managerial"
"481402","Managerial"
"481408","Education"
"481408","Miscellaneous Services"
"481418","Metal-Working"
"481424","Transport"
"481474","Transport"
"481487","Building"
"481552","Unclassified"
"481573","Metal-Working"
"481575","Building"
"481575","Clothing"
"481575","Food-Production"
"481647","Building"
"481652","Building"
"481676","Miscellaneous Services"
"481775","Metal-Working"
"481792","Miscellaneous Services"
"481982","Transport"
"482052","Retail"
"482052","Food-Production"
"482065","Miscellaneous Services"
"482210","Retail"
"482221","Building"
"482228","Metal-Working"
"482254","Building"
"482295","Building"
"482323","Miscellaneous Services"
"482739","Managerial"
"482739","Managerial"
"482746","Managerial"
"482747","Transport"
"482749","Transport"
"482750","Transport"
"482777","Retail"
"482817","Miscellaneous Services"
"482906","Building"
"482977","Miscellaneous Services"
"482985","Managerial"
"482986","Retail"
"482990","Building"
"483012","Miscellaneous Services"
"483017","Retail"
"483058","Retail"
"483072","Managerial"
"483084","Miscellaneous Services"
"483098","Clothing"
"483098","Retail"
"483114","Unclassified"
"483253","Miscellaneous Services"
"483311","Unclassified"
"483312","Transport"
"483312","Transport"
"483313","Retail"
"483315","Food-Production"
"483320","Food-Production"
"483336","Miscellaneous Services"
"483359","Metal-Working"
"483361","Miscellaneous Services"
"483382","Clothing"
"483388","Retail"
"483406","Education"
"483421","Transport"
"483436","Managerial"
"483440","Household Goods"
"483489","Performing Arts"
"483517","Finance"
"483524","Finance"
"483525","Finance"
"483526","Finance"
"483542","Managerial"
"483547","Managerial"
"483587","Miscellaneous Services"
"483587","Managerial"
"483597","Retail"
"483622","Unclassified"
"483627","Unclassified"
"483642","Transport"
"483645","Retail"
"483703","Metal-Working"
"483790","Clothing"
"483802","Miscellaneous Services"
"483802","Miscellaneous Services"
"483803","Miscellaneous Services"
"483823","Miscellaneous Services"
"483823","Miscellaneous Services"
"483869","Unclassified"
"483875","Managerial"
"483914","Miscellaneous Services"
"483916","Building"
"483962","Metal-Working"
