Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
dogarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,special vessel maker
dolabrarius,i,,dolabrarius,male,Waltzing - provinces,83110,Metal-Working,,a pickaxe-maker
dolator,oris,,,male,Petrikovits 1981a,97130,Building,,worker with an axe
dolearius,i,,,male,Petrikovits 1981a,89210,Household Goods,,producer and seller of large vessels
doliarius,i,,,male,Petrikovits 1981b,81990,Household Goods,,maker of barrels made of wood or clay
dominus navium,i,,dominus,male,Waltzing - Rome,98130,Transport,Maritime/water transport,shipmaster
domnicomontanus,i,,,male,Petrikovits 1981a,,Unclassified,,uncertain
dulciarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"Confectioner, baker"
eborarius,i,,eborarius,male,Waltzing - Rome,88090,Miscellaneous Services,,a worker in ivory
eburarius,i,,,male,Petrikovits 1981a,88090,Miscellaneous Services,,a worker in ivory
embaenitarius,i,,,male,Petrikovits 1981a,,Unclassified,,uncertain
emplastrator,oris,,,male,Petrikovits 1981a,95910,Building,,"a plasterer, uncertain"
emporus,i,,emporus,male,Waltzing - provinces,45125,Retail,,a trader
ephippiarius,i,,,male,Petrikovits 1981a,80190,Transport,Land transport,saddler
epippiarius,i,,,male,Petrikovits 1981a,80190,Transport,Land transport,saddler
erarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,coppersmith
essedarius,i,,,male,Petrikovits 1981a,58340,Miscellaneous Services,Military,a fighter in a war-chariot
exactor auri argenti et aeris,oris,,exactor,male,Petrikovits 1981a,31020,Finance,,"overseer of gold and silver money production,a collector of taxes, a tax gatherer"
exceptor,oris,,exceptor,male,Waltzing - Rome,32120,Education,,"an amanuensis, short-hand writer, scribe"
exclussor,oris,,,male,Petrikovits 1981a,83110,Metal-Working,,blacksmith
excusor,oris,,,male,Petrikovits 1981a,83110,Metal-Working,,blacksmith
exemptor,oris,,,male,Petrikovits 1981a,82090,Building,Stone worker,"who pulls out stones, stone breaker"
exonerator,oris,,exonerator,male,Waltzing - Rome,99910,Transport,Land transport,an unloader of calc (calcarii)
extructor,oris,,,male,Petrikovits 1981a,95410,Building,,builder
faber,ri,carpentarius,faber,male,EDH/EDCS,83110,Transport,Land transport,a wheelwright worker
faber,ri,,faber,male,Waltzing - Rome,83110,Unclassified,,"a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner"
faber,ri,dolabrarius,faber,male,Waltzing - Rome,83110,Metal-Working,,axe maker
faber,ri,ferrarius,faber,male,Waltzing - Rome,83110,Metal-Working,,blacksmith
faber,ri,navalis,faber,male,Waltzing - Rome,83110,Transport,Maritime/water transport,boat constructors
faber,ri,aerarius,faber,male,Waltzing - Rome,83110,Metal-Working,,bronze worker
faber,ri,tignarius,faber,male,Waltzing - Rome,83110,Building,,builder
faber,ri,tignuarius,faber,male,Waltzing - Rome,83110,Building,,builder
faber,ri,lectarius,faber,male,EDH/EDCS,83110,Household Goods,,couch maker
faber,ri,ocularius,faber,male,EDH/EDCS,83110,Miscellaneous Services,,"eye doctor, eye related discipline"
faber,ri,soliarius baxiarius,faber,female,Ghent Database Roman Guilds,83110,Clothing,,female shoe maker
faber,ri,limarius,faber,male,EDH/EDCS,83110,Clothing,,"file cutter, maker, textile worker"
faber,ri,vascularius,faber,male,EDH/EDCS,83110,Metal-Working,,"goldsmith, smith"
faber,ri,intestinarius,faber,male,EDH/EDCS,83110,Building,,"joiner, wood worker"
faber,ri,soliarius,faber,male,Waltzing - Rome,83110,Clothing,Shoe maker,shoe maker
faber,ri,anularius,faber,male,EDH/EDCS,83110,Metal-Working,,signet-ring maker
faber,ri,argentarius,faber,male,Waltzing - Rome,83110,Metal-Working,,"silver-smith, money-maker"
faber,ri,lapidarius,faber,male,EDH/EDCS,83110,Building,,"stone worker, letter cutter"
faber,ri,centonarius,faber,male,Ghent Database Roman Guilds,83110,Clothing,,textile maker
faber,ri,aciarius,faber,male,EDH/EDCS,83110,Clothing,,"thread maker, textile worker"
faber,ri,subaedianus,faber,male,Ghent Database Roman Guilds,83110,Unclassified,,unspecified house worker
