Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
diabathrarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;light-shoe maker
diatretarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;one who does perforated or filigree work, a turner, carver
diffusitrix;icis;;;female;Petrikovits 1981a;4;41;Food-Retail;;female maker and trader of oil
diffusor;oris;;diffusor;male;Waltzing - provinces;4;43;Food-Retail;;trader of oil
diffusor oleari;oris;;diffusor;male;Waltzing - Rome;4;43;Food-Retail;;oil trader
dissignator;oris;;dissignator;male;Waltzing - provinces;2;21;Managerial;;an undertaker, manager
dogarius;i;;;male;Petrikovits 1981a;8;89;Household Goods;;special vessel maker
dolabrarius;i;;dolabrarius;male;Waltzing - provinces;8;83;Metal-Working;;a pickaxe-maker
dolator;oris;;;male;Petrikovits 1981a;9;95;Building;;worker with an axe
dolearius;i;;;male;Petrikovits 1981a;8;89;Household Goods;;producer and seller of large vessels
doliarius;i;;;male;Petrikovits 1981b;8;89;Household Goods;;maker of barrels made of wood or clay
dominus navium;i;;dominus;male;Waltzing - Rome;0;4;Transport;Maritime/water transport;shipmaster
domnicomontanus;i;;;male;Petrikovits 1981a;;;Unclassified;;uncertain
dulciarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;Confectioner, baker
eborarius;i;;eborarius;male;Waltzing - Rome;8;88;Miscellaneous Services;;a worker in ivory
eburarius;i;;;male;Petrikovits 1981a;8;88;Miscellaneous Services;;a worker in ivory
embaenitarius;i;;;male;Petrikovits 1981a;;;Unclassified;;uncertain
emplastrator;oris;;;male;Petrikovits 1981a;9;95;Building;;a plasterer, uncertain
emporus;i;;emporus;male;Waltzing - provinces;4;45;Retail;;a trader
ephippiarius;i;;;male;Petrikovits 1981a;8;80;Transport;Land transport;saddler
epippiarius;i;;;male;Petrikovits 1981a;8;80;Transport;Land transport;saddler
erarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;coppersmith
essedarius;i;;;male;Petrikovits 1981a;5;58;Miscellaneous Services;Military;a fighter in a war-chariot
exactor auri argenti et aeris;oris;;exactor;male;Petrikovits 1981a;3;31;Finance;;overseer of gold and silver money production,a collector of taxes, a tax gatherer
exceptor;oris;;exceptor;male;Waltzing - Rome;3;32;Education;;an amanuensis, short-hand writer, scribe
exclussor;oris;;;male;Petrikovits 1981a;8;83;Metal-Working;;blacksmith
excusor;oris;;;male;Petrikovits 1981a;8;83;Metal-Working;;blacksmith
exemptor;oris;;;male;Petrikovits 1981a;8;82;Building;Stone worker;who pulls out stones, stone breaker
exonerator;oris;;exonerator;male;Waltzing - Rome;9;97;Transport;Land transport;an unloader of calc (calcarii)
extructor;oris;;;male;Petrikovits 1981a;0;2;Building;;builder
faber;ri;carpentarius;faber;male;EDH/EDCS;9;95;Transport;Land transport;a wheelwright worker
faber;ri;;faber;male;Waltzing - Rome;9;99;Unclassfied;;a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner
faber;ri;dolabrarius;faber;male;Waltzing - Rome;8;83;Metal-Working;;axe maker
faber;ri;ferrarius;faber;male;Waltzing - Rome;8;83;Metal-Working;;blacksmith
faber;ri;navalis;faber;male;Waltzing - Rome;9;95;Transport;Maritime/water transport;boat constructors
faber;ri;aerarius;faber;male;Waltzing - Rome;8;83;Metal-Working;;bronze worker
faber;ri;tignarius;faber;male;Waltzing - Rome;0;2;Building;;builder
faber;ri;tignuarius;faber;male;Waltzing - Rome;0;2;Building;;builder
faber;ri;lectarius;faber;male;EDH/EDCS;8;81;Household Goods;;couch maker
faber;ri;ocularius;faber;male;EDH/EDCS;0;6;Miscellaneous Services;;eye doctor, eye related discipline
faber;ri;soliarius baxiarius;faber;female;Ghent Database Roman Guilds;8;80;Clothing;;female shoe maker
faber;ri;limarius;faber;male;EDH/EDCS;8;83;Clothing;;file cutter, maker, textile worker
faber;ri;vascularius;faber;male;EDH/EDCS;8;88;Metal-Working;;goldsmith, smith
faber;ri;intestinarius;faber;male;EDH/EDCS;9;95;Building;;joiner, wood worker
faber;ri;soliarius;faber;male;Waltzing - Rome;8;80;Clothing;Shoe maker;shoe maker
faber;ri;anularius;faber;male;EDH/EDCS;8;88;Metal-Working;;signet-ring maker
faber;ri;argentarius;faber;male;Waltzing - Rome;8;88;Metal-Working;;silver-smith, money-maker
faber;ri;lapidarius;faber;male;EDH/EDCS;7;71;Building;;stone worker, letter cutter
faber;ri;centonarius;faber;male;Ghent Database Roman Guilds;7;75;Clothing;;textile maker
faber;ri;aciarius;faber;male;EDH/EDCS;7;75;Clothing;;thread maker, textile worker
faber;ri;subaedianus;faber;male;Ghent Database Roman Guilds;;;Unclassified;;unspecified house worker
fabricator;oris;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;manufacturer, an artificer, framer, forger, contriver, fabricator
fabricensis;ensis;;fabricensis;male;Waltzing - provinces;8;83;Metal-Working;;an armorer
fabriciensis;ensis;;;male;Petrikovits 1981a;8;83;Metal-Working;;an armorer
